2022-09-15 10:07:03.845 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'dandelion-cron' URL not provided. Will try picking an instance via load-balancing.
2022-09-15 10:07:05.170 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-15 10:07:06.370 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-15 10:07:06.595 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-09-15 10:07:06.609 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-09-15 10:07:06.620 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2022-09-15 10:07:07.696 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-15 10:07:07.719 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.571 seconds (JVM running for 10.224)
2022-09-15 10:07:07.722 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2022-09-15 10:07:07.726 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2022-09-15 10:07:07.727 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2022-09-15 10:07:17.298 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-15 10:07:17.298 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-15 10:07:17.299 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-09-15 10:08:23.826 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-handler-dev.yaml,HANDLER'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-handler.yaml,HANDLER'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-handler,HANDLER'}, BootstrapPropertySource {name='bootstrapProperties-sms-dev.yaml,HANDLER'}, BootstrapPropertySource {name='bootstrapProperties-email-dev.yaml,HANDLER'}, BootstrapPropertySource {name='bootstrapProperties-deduplicaiton-dev.yaml,HANDLER'}, BootstrapPropertySource {name='bootstrapProperties-discard-dev.yaml,HANDLER'}]
2022-09-15 10:08:23.831 [main] INFO  net.syl.dandelion.handler.HandlerApplication - The following 1 profile is active: "dev"
2022-09-15 10:08:24.425 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-15 10:08:24.427 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-15 10:08:24.445 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-09-15 10:08:24.576 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=30d63df8-eaab-36ca-8f8a-6f522ed3af56
2022-09-15 10:08:24.917 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2022-09-15 10:08:24.923 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2022-09-15 10:08:24.924 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-15 10:08:24.924 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2022-09-15 10:08:25.030 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-15 10:08:25.030 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1182 ms
2022-09-15 10:08:25.520 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-09-15 10:08:25.788 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-09-15 10:08:27.396 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-15 10:08:28.641 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-15 10:08:28.873 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2022-09-15 10:08:28.900 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2022-09-15 10:08:28.907 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-handler 192.168.91.1:8082 register finished
2022-09-15 10:08:29.976 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-15 10:08:29.977 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.91.129:5672]
2022-09-15 10:08:30.070 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#1f3b992:0/SimpleConnection@6ac756b [delegate=amqp://admin@192.168.91.129:5672/, localPort= 64811]
2022-09-15 10:08:30.135 [main] INFO  net.syl.dandelion.handler.HandlerApplication - Started HandlerApplication in 9.344 seconds (JVM running for 10.066)
2022-09-15 10:08:30.142 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=sms-dev.yaml, group=HANDLER
2022-09-15 10:08:30.146 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=email-dev.yaml, group=HANDLER
2022-09-15 10:08:30.149 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=deduplicaiton-dev.yaml, group=HANDLER
2022-09-15 10:08:30.150 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-handler, group=HANDLER
2022-09-15 10:08:30.150 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-handler.yaml, group=HANDLER
2022-09-15 10:08:30.154 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-handler-dev.yaml, group=HANDLER
2022-09-15 10:08:30.158 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=discard-dev.yaml, group=HANDLER
2022-09-15 10:09:06.350 [sms.notice-1] INFO  n.s.d.support.aop.service.impl.RabbitMQListener - {"@type":"net.syl.dandelion.support.aop.AnchorLog","bizId":1570233211953410048,"localDateTime":"2022-09-15T10:09:06.339","receivers":Set["17722819947"],"response":{"data":null,"msg":"消息接收成功","status":"H0010"},"tag":"receiver","templateId":4}
2022-09-15 10:09:06.864 [pool-3-thread-1] INFO  n.s.d.support.aop.service.impl.RabbitMQListener - {"@type":"net.syl.dandelion.support.aop.AnchorLog","bizId":1570233211953410048,"localDateTime":"2022-09-15T10:09:06.863","receivers":Set["17722819947"],"response":{"data":null,"msg":"消息下发失败","status":"H0042"},"tag":"handler","templateId":4}
2022-09-15 10:09:21.588 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.cpu.cores required for local execution is not set, setting it to the maximal possible value.
2022-09-15 10:09:21.591 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.heap.size required for local execution is not set, setting it to the maximal possible value.
2022-09-15 10:09:21.591 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.off-heap.size required for local execution is not set, setting it to the maximal possible value.
2022-09-15 10:09:21.592 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.min required for local execution is not set, setting it to its default value 64 mb.
